Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,2,0,20,20,true,3,6,5,3,15,4,15,9,6,13,7,5,2,7,6,7,2,2,12,13,4,13,9,15,5,1,14,8,10,3,14,4,8,3,6,14,14,12,7,4,10,5,15,11,13,12,14,2,9,2,8,2,14,3,1,7,8,4,13,1,4,11,10,4,14,8,15,9,1,7,10,4,4,14,10,6,6,4,7,8,9,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,
0,20,10,13,2,1,
1,18,11,13,3,1,
2,16,11,10,9,1,
3,15,14,10,15,1,
4,15,15,10,15,1,
5,15,15,10,15,3,
6,15,15,15,15,3,
7,14,8,15,14,3,
8,13,5,15,15,3,
9,13,5,14,15,3,
10,12,4,14,15,4,
11,11,4,13,15,4,
12,11,2,13,15,1,
13,10,2,14,15,1,
14,10,2,14,15,4,
15,10,2,13,15,4,
16,10,12,13,14,4,
17,9,12,14,15,4,
18,9,13,14,15,4,
19,9,13,14,15,1,
20,9,4,14,15,1,
21,9,8,14,11,1,
22,9,13,14,15,1,
23,9,13,14,15,1,
24,9,4,14,15,2,
25,9,8,14,15,2,
26,9,13,14,8,2,
27,9,13,14,8,8,
28,8,13,10,7,8,
29,7,15,10,7,10,
30,7,15,10,7,9,
31,6,15,11,8,9,
32,5,15,11,2,9,
33,4,15,15,2,8,
34,4,15,15,2,4,
35,3,15,6,1,4,
36,2,15,6,4,4,
37,1,14,6,4,7,
38,1,15,6,6,7,
39,0,15,6,6,6,
40,0,14,6,6,6,
41,0,15,6,4,6,
42,0,15,6,6,6,
43,0,15,13,6,6,
44,0,15,13,6,11,
45,0,15,9,12,11,
46,0,15,9,15,11,
47,0,15,10,15,11,
48,0,15,10,15,6,
49,0,9,10,15,6,
50,0,15,10,15,15,
