Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,2,0,20,20,true,3,5,11,13,7,7,12,5,3,2,5,11,9,12,12,15,10,4,15,6,15,1,9,4,3,4,13,15,5,13,10,6,3,12,11,1,4,7,5,1,1,9,12,8,13,14,4,1,7,15,3,13,11,8,2,5,2,13,2,8,14,5,12,6,5,11,11,14,12,10,1,7,8,15,1,4,2,12,1,1,5,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,
0,20,15,3,6,12,
1,18,15,1,5,12,
2,17,12,1,6,12,
3,16,10,1,6,12,
4,16,8,1,3,12,
5,15,8,2,6,12,
6,14,5,2,6,12,
7,13,4,2,1,12,
8,13,8,2,2,12,
9,13,12,2,4,12,
10,12,13,2,6,12,
11,12,13,4,6,12,
12,11,14,4,1,12,
13,11,15,4,2,12,
14,11,15,4,4,12,
15,11,15,3,6,12,
16,11,15,3,6,12,
17,11,15,4,1,12,
18,11,15,4,2,12,
19,11,15,1,4,12,
20,11,15,1,6,12,
21,11,15,4,6,12,
22,11,15,4,6,14,
23,10,15,1,8,14,
24,9,15,1,8,13,
25,9,8,1,8,12,
26,8,15,1,9,12,
27,8,15,1,11,12,
28,7,12,1,11,11,
29,7,15,1,11,11,
30,7,15,1,11,10,
31,7,14,1,12,10,
32,7,15,1,12,10,
33,7,15,1,12,1,
34,7,15,4,15,1,
35,7,15,4,15,1,
36,7,15,1,15,4,
37,7,15,1,15,4,
38,7,15,4,12,4,
39,7,15,4,15,4,
40,7,7,4,15,4,
41,7,6,4,15,1,
42,6,6,5,15,1,
43,6,6,8,7,1,
44,5,7,8,14,1,6,4,
45,5,14,8,15,1,12,4,
46,4,14,12,15,1,15,4,
47,4,14,11,5,1,15,4,
48,3,13,11,10,1,6,4,
49,3,15,11,15,1,12,4,
50,3,15,11,15,1,15,4,
