Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,2,0,20,20,true,3,9,6,3,10,2,5,6,1,4,5,7,5,7,4,9,8,6,8,3,8,11,2,11,5,11,12,2,9,2,11,10,2,8,12,11,1,9,2,1,12,6,14,5,3,12,15,14,10,9,13,9,15,3,1,6,12,14,5,3,2,11,6,12,2,12,14,7,12,13,12,13,5,7,14,2,10,12,4,5,14,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,
0,20,7,10,11,15,
1,18,7,12,12,15,
2,16,6,12,12,14,
3,15,6,14,12,12,
4,13,5,14,13,12,
5,12,7,14,13,10,
6,11,9,14,14,10,
7,10,9,13,14,6,
8,8,9,15,14,5,
9,7,15,15,13,5,
10,7,15,15,13,4,
11,6,6,15,12,4,
12,5,12,15,12,2,
13,5,15,15,12,6,
14,4,15,15,11,6,
15,4,14,15,15,6,
16,4,15,15,15,6,
17,4,15,15,15,9,
18,4,15,2,15,9,
19,4,15,2,15,15,
20,4,15,13,15,15,
21,4,15,13,15,13,
22,4,15,14,15,13,
23,4,15,14,15,6,
24,4,13,14,15,6,
25,4,15,14,15,15,
26,4,15,14,15,15,
27,4,15,15,15,14,
28,4,15,15,15,14,
29,4,15,1,4,14,
30,4,15,1,8,14,
31,4,15,8,15,14,
32,4,15,8,15,14,
33,4,15,15,15,11,
34,4,15,15,15,11,
35,4,15,1,15,1,
36,4,15,1,15,1,
37,4,15,15,15,9,
38,4,15,15,15,9,
39,4,14,15,15,10,
40,4,15,15,15,10,
41,4,15,15,15,1,
42,4,15,6,15,1,
43,4,15,6,15,12,
44,4,10,6,15,12,
45,4,15,6,15,8,
46,4,15,6,15,8,
47,4,10,6,10,8,
48,4,15,6,15,8,
49,4,15,6,15,8,
50,4,15,1,10,8,
