Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,2,0,20,20,true,3,8,12,14,1,8,5,4,4,10,7,9,2,11,6,12,8,6,14,5,14,9,14,11,3,5,4,8,15,8,6,12,15,1,1,7,11,5,8,10,5,2,5,13,4,11,8,5,13,14,9,13,8,4,11,4,12,5,3,1,11,12,12,14,3,12,14,15,10,11,5,1,5,6,12,7,14,8,8,8,4,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,
0,20,9,3,10,4,
1,18,5,3,8,4,
2,18,5,2,11,4,
3,17,8,2,11,5,
4,17,8,2,13,5,
5,16,8,1,13,4,
6,15,13,1,13,8,
7,15,13,3,14,8,
8,13,14,3,14,9,
9,13,14,10,15,9,
10,12,15,10,15,10,
11,12,4,10,15,10,
12,11,4,11,13,10,
13,10,4,12,13,12,
14,8,6,12,12,12,
15,7,5,12,12,14,
16,6,5,13,15,14,
17,6,7,13,15,14,
18,5,7,14,15,3,
19,5,8,14,15,3,
20,5,8,14,15,1,
21,5,8,13,15,1,
22,5,15,13,15,3,
23,5,15,13,15,3,
24,5,6,13,12,3,
25,5,12,13,15,3,
26,5,15,13,15,3,
27,5,15,13,14,3,
28,5,15,15,15,3,
29,5,15,15,15,3,
30,5,13,15,15,1,
31,5,15,15,15,1,
32,5,15,15,15,6,
33,5,13,15,15,6,
34,5,15,15,12,6,
35,5,15,15,15,6,
36,5,13,15,15,6,
37,5,15,15,15,2,
38,5,15,15,15,2,
39,5,15,2,15,11,
40,5,15,2,15,11,
41,5,10,2,8,11,
42,4,15,2,8,8,
43,3,15,2,11,8,
44,3,15,1,11,8,
45,3,15,1,11,9,
46,3,15,4,15,9,
47,3,15,4,15,9,
48,3,6,4,15,1,
49,3,12,4,15,1,
50,3,15,4,15,6,
