Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,2,0,20,20,true,3,14,13,15,2,11,3,5,1,6,7,10,1,5,10,5,4,12,1,14,5,7,7,4,6,15,13,1,14,7,8,4,5,6,11,13,8,5,9,1,10,15,10,5,11,15,7,14,3,12,6,4,4,2,10,14,4,3,12,13,4,15,15,13,14,12,4,9,1,11,4,14,12,2,15,9,14,1,1,15,5,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,
0,20,9,11,12,8,
1,18,9,14,12,6,
2,16,13,14,12,4,
3,15,13,12,11,4,
4,13,14,12,13,4,
5,12,14,10,14,4,
6,10,15,10,14,3,
7,9,15,7,15,3,
8,8,15,5,15,5,
9,8,15,5,15,4,
10,8,15,12,15,3,
11,8,15,11,15,3,
12,8,15,10,12,3,
13,8,15,9,15,3,
14,8,15,9,15,3,
15,8,14,9,12,3,
16,8,15,9,15,3,
17,8,15,9,15,3,
18,8,15,12,15,9,
19,8,15,11,15,8,
20,8,15,10,15,7,
21,8,15,9,15,6,
22,8,15,9,15,5,
23,8,15,5,15,4,
24,8,15,5,15,3,
25,8,15,4,15,3,
26,8,15,4,12,3,
27,8,15,3,15,3,
28,8,15,3,15,3,
29,8,12,3,12,3,
30,8,15,3,15,3,
31,8,15,3,15,3,
32,8,13,3,13,3,
33,8,15,3,15,3,
34,8,15,3,15,3,
35,8,15,12,15,8,
36,8,15,11,15,7,
37,8,15,10,15,6,
38,8,15,9,15,5,
39,8,15,9,15,4,
40,8,15,3,15,3,
41,8,15,3,15,3,
42,8,15,12,15,12,
43,7,15,11,3,12,
44,7,15,10,3,10,
45,6,15,9,2,10,
46,5,15,9,2,15,
47,5,15,12,14,15,
48,4,15,11,15,15,
49,4,15,11,15,15,
50,4,15,3,15,3,15,13,
