Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,3,0,20,20,true,3,12,6,7,13,10,10,7,12,9,13,8,11,10,2,15,1,6,3,7,15,15,2,13,12,4,5,2,12,13,8,12,1,13,10,13,7,10,13,9,2,15,3,7,11,1,9,15,10,3,5,5,1,4,13,8,14,14,3,1,7,2,13,12,11,11,11,3,10,7,9,12,12,11,4,14,9,6,9,5,3,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,
0,20,7,6,9,8,2,7,
1,18,7,9,7,8,1,7,
2,15,6,9,7,11,1,9,
3,15,3,9,7,10,3,9,
4,14,3,10,3,10,3,10,
5,13,3,5,3,5,3,5,
6,13,3,5,3,13,3,13,
7,12,3,1,2,13,2,13,
8,10,5,1,4,13,4,13,
9,9,5,3,6,13,6,13,
10,9,5,3,6,13,6,13,
11,9,5,1,6,11,6,15,
12,9,10,1,6,10,6,15,
13,9,11,1,6,9,6,9,
14,7,11,4,14,9,14,9,
15,6,14,4,14,3,14,3,
16,5,14,3,15,3,15,3,
17,4,15,3,15,10,15,10,
18,4,15,3,15,10,15,10,
19,4,15,5,15,15,15,15,
20,4,15,5,8,15,8,15,
21,3,6,5,8,14,8,14,
22,3,12,5,15,14,15,14,
23,3,15,5,15,14,15,14,
24,3,15,5,15,15,15,12,
25,3,15,3,15,15,15,12,
26,3,15,3,8,15,15,3,
27,3,15,15,15,15,15,3,
28,3,15,15,15,15,15,10,
29,3,15,6,11,15,15,10,
30,2,15,6,11,11,15,8,
31,1,13,6,12,11,15,8,
32,0,15,6,12,12,15,11,
33,0,15,6,12,12,15,11,
34,0,14,6,8,12,15,6,14,1,
35,0,15,6,12,12,15,6,13,1,
36,0,15,6,12,12,13,6,14,1,
37,0,15,9,8,12,15,6,14,1,
38,0,15,9,12,12,15,6,13,1,
39,0,13,9,12,12,13,6,14,1,
40,0,15,9,12,15,15,6,14,1,
41,0,15,9,15,15,15,6,14,10,
42,0,6,9,15,15,13,6,15,10,
43,0,12,9,15,12,15,6,15,10,
44,0,15,9,15,12,15,6,15,11,
45,0,15,9,15,15,13,6,15,11,
46,0,4,9,15,15,15,6,9,11,
47,0,8,9,11,15,15,6,15,11,
48,0,15,9,15,15,15,15,15,11,
49,0,15,9,15,15,15,15,9,11,
50,0,15,6,8,15,8,15,15,11,
