Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,3,0,20,20,true,3,13,2,13,1,12,15,1,6,4,4,12,4,9,2,9,4,9,11,6,12,7,12,6,14,2,6,10,11,5,14,11,1,13,11,14,9,6,10,4,14,4,12,12,7,2,13,1,1,6,9,12,12,7,1,9,9,11,7,2,8,15,11,9,15,3,8,15,8,10,2,3,15,10,8,7,10,3,11,3,3,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,
0,20,7,11,10,1,7,15,
1,17,7,10,10,2,9,15,
2,16,7,9,10,7,3,15,
3,13,6,9,11,7,3,11,
4,10,9,9,12,7,3,8,
5,8,9,8,12,12,2,8,
6,6,10,8,15,12,2,13,
7,4,15,8,15,11,4,13,
8,3,15,8,15,11,4,12,
9,3,15,7,15,15,5,12,
10,3,15,7,15,15,5,12,
11,3,15,1,13,15,5,13,
12,3,15,1,15,15,10,13,
13,3,15,15,15,15,15,13,
14,3,15,15,15,4,15,13,
15,3,13,15,15,4,15,7,
16,3,15,15,15,3,15,7,
17,3,15,15,15,3,15,15,
18,3,13,15,15,11,15,15,
19,3,15,15,15,11,13,15,
20,3,15,15,15,10,15,15,
21,3,13,15,15,10,15,15,
22,3,15,15,14,10,15,1,
23,3,15,15,15,10,15,1,
24,3,13,15,15,10,15,14,
25,3,15,15,15,15,15,14,
26,3,15,15,15,15,15,15,
27,3,13,15,15,3,15,15,
28,3,15,15,15,3,13,15,
29,3,15,15,5,3,15,15,
30,2,13,15,3,3,15,15,
31,2,15,15,6,3,13,15,
32,2,15,15,6,1,15,15,
33,1,15,8,7,1,15,15,
34,1,15,8,2,1,15,9,
35,0,15,3,1,1,15,9,12,9,
36,0,15,3,2,1,15,2,13,9,
37,0,15,1,4,1,15,2,13,9,
38,0,15,1,8,1,15,1,13,4,
39,0,14,1,10,1,15,1,15,4,
40,0,15,1,10,1,15,3,15,4,
41,0,15,1,1,1,15,3,15,13,
42,0,14,1,2,1,15,12,15,13,
43,0,15,1,4,1,15,12,15,4,
44,0,15,1,8,1,15,10,15,4,
45,0,15,14,10,1,15,10,15,1,
46,0,15,14,10,1,11,10,15,1,
47,0,15,10,10,9,15,10,14,1,
48,0,15,10,13,9,15,10,15,1,
49,0,11,10,13,9,15,3,15,1,
50,0,15,10,13,3,15,3,15,8,
