Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,3,0,20,20,true,3,1,8,3,1,2,9,14,1,3,10,9,9,1,15,12,15,14,8,7,8,8,1,6,4,12,12,4,9,11,4,1,13,5,9,6,3,1,1,9,5,8,10,12,9,11,15,3,7,13,10,2,3,12,10,1,3,11,10,6,14,2,4,15,8,10,1,15,13,8,15,1,14,2,12,4,11,5,12,11,12,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,
0,20,5,6,13,6,5,9,
1,18,10,6,13,10,5,12,
2,16,15,6,12,10,2,12,
3,15,15,7,12,9,4,12,
4,13,15,8,11,9,4,11,
5,12,15,8,11,10,8,11,
6,10,15,1,11,12,8,10,
7,8,15,1,11,15,8,15,
8,7,15,13,6,15,6,15,
9,6,15,13,6,14,6,14,
10,5,15,15,1,14,1,14,
11,5,15,15,2,14,2,14,
12,5,15,1,4,14,4,14,
13,5,15,1,8,14,8,14,
14,5,15,9,15,14,15,14,
15,5,15,9,15,14,15,14,
16,5,15,15,15,9,6,14,
17,5,15,15,15,9,12,14,
18,5,13,15,12,9,15,14,
19,5,15,15,15,9,15,14,
20,5,15,15,15,9,15,15,
21,5,15,14,15,15,15,15,
22,5,15,14,15,15,15,5,
23,5,15,15,13,15,15,5,
24,5,15,15,15,15,15,1,
25,5,15,2,15,15,15,1,
26,5,15,2,15,1,15,6,
27,5,15,1,15,1,15,6,
28,5,15,1,15,5,13,6,
29,5,15,10,15,5,15,6,
30,5,15,10,15,1,15,6,
31,5,4,10,15,1,7,6,
32,5,8,10,15,14,3,6,
33,4,15,10,15,14,3,7,
34,4,15,10,15,12,3,4,
35,3,8,10,15,12,2,4,
36,2,15,10,15,14,2,3,
37,1,15,10,15,14,1,3,
38,1,15,5,15,15,2,3,
39,1,15,5,15,15,4,3,
40,1,15,15,13,15,5,3,
41,1,15,15,15,15,5,3,
42,1,13,15,15,15,5,1,
43,1,15,15,13,15,7,1,
44,1,15,15,15,15,7,1,
45,1,13,15,15,15,4,1,
46,1,15,15,13,15,7,1,
47,1,15,15,15,15,7,1,
48,1,13,15,15,15,4,1,
49,1,15,15,15,1,7,1,
50,1,15,15,15,1,7,1,
