Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,3,0,20,20,true,3,14,1,6,3,4,10,4,6,14,15,8,1,1,1,15,3,9,9,3,11,7,11,2,2,6,9,3,7,15,6,13,1,15,8,10,3,14,8,9,6,9,10,15,4,15,13,14,9,10,12,15,7,4,8,11,2,1,10,13,10,11,9,8,9,9,7,9,13,11,7,12,13,2,1,7,4,7,9,8,11,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,
0,20,12,3,6,1,14,2,
1,18,12,2,2,1,11,2,
2,17,12,7,4,1,11,7,
3,16,9,7,7,1,9,7,
4,14,15,7,7,4,15,7,
5,13,15,7,7,9,14,7,
6,12,4,7,8,9,14,6,
7,10,4,8,8,11,14,5,
8,10,11,8,8,10,14,4,
9,7,11,9,9,10,15,4,
10,5,14,9,9,13,14,4,
11,4,13,9,12,13,15,4,
12,2,13,10,15,13,14,4,
13,2,15,10,10,13,15,4,
14,1,15,10,10,12,15,4,
15,1,15,9,15,12,15,5,
16,1,15,9,15,12,15,5,
17,1,15,15,15,15,6,5,
18,1,15,15,15,15,12,5,
19,1,15,13,15,9,15,5,
20,1,15,13,15,9,15,5,
21,1,15,15,15,13,2,5,
22,1,15,15,15,13,2,10,
23,0,15,9,15,15,1,10,
24,0,15,9,15,15,2,10,
25,0,12,9,15,9,3,10,
26,0,15,9,15,9,3,10,
27,0,15,9,15,15,3,8,
28,0,15,15,15,15,6,8,
29,0,15,15,15,9,12,8,
30,0,15,14,15,9,13,8,
31,0,15,14,10,9,13,8,
32,0,15,15,15,9,13,15,
33,0,15,15,15,9,13,15,
34,0,15,9,15,10,13,14,
35,0,15,9,15,10,15,14,
36,0,13,9,15,9,15,14,
37,0,15,9,15,9,15,9,
38,0,15,9,15,10,15,9,
39,0,15,15,15,10,15,13,
40,0,15,15,8,10,15,13,
41,0,15,9,15,10,15,15,
42,0,15,9,15,10,15,15,
43,0,15,15,15,9,15,9,
44,0,15,15,15,9,15,9,
45,0,15,9,15,12,10,9,
46,0,15,9,15,12,15,9,
47,0,15,15,14,12,15,9,
48,0,15,15,15,12,10,9,
49,0,15,9,15,12,15,9,
50,0,15,9,15,15,15,9,
