Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,3,0,20,20,true,3,2,3,13,10,6,11,5,1,11,9,4,7,13,13,7,7,5,5,5,2,9,11,13,6,1,15,1,6,15,3,9,1,5,13,2,2,8,6,3,4,7,6,11,10,9,6,14,8,9,12,1,12,6,3,4,4,3,1,13,7,14,3,13,11,2,1,6,1,7,8,1,13,5,11,6,6,8,8,12,6,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,
0,20,13,11,11,15,6,11,
1,18,11,11,11,10,5,11,
2,18,15,11,12,10,1,11,
3,16,15,8,12,6,1,12,
4,13,14,8,9,6,1,13,
5,12,14,3,9,8,2,13,
6,10,6,3,8,8,4,13,
7,8,6,1,7,8,4,13,
8,7,6,6,13,8,4,15,
9,5,7,6,13,7,8,15,
10,5,7,6,15,7,8,12,
11,4,2,6,15,7,9,12,
12,4,4,6,15,6,15,12,
13,3,4,4,15,6,15,12,
14,3,4,1,15,12,15,8,
15,2,3,1,15,12,15,8,
16,1,2,1,15,15,15,15,
17,1,4,1,15,15,15,15,
18,1,4,1,2,15,6,15,
19,1,1,1,4,15,12,15,
20,1,2,1,8,15,15,15,
21,1,4,1,15,15,15,15,
22,1,4,1,15,15,15,10,
23,1,1,1,15,4,15,10,
24,1,2,1,15,4,15,8,
25,1,4,1,15,15,15,8,
26,1,4,1,15,15,15,4,
27,1,1,1,10,15,15,4,
28,1,2,1,15,15,15,7,
29,1,4,1,15,15,15,7,
30,1,4,1,2,15,15,10,
31,1,4,6,4,15,15,10,
32,1,7,6,8,15,15,4,
33,1,7,6,15,15,15,4,
34,1,7,1,15,15,15,15,
35,1,8,1,15,4,15,15,
36,1,8,1,15,4,13,15,
37,1,6,1,4,4,15,15,
38,1,8,1,8,4,15,15,
39,1,8,1,15,4,8,15,
40,1,8,5,15,4,15,15,
41,1,15,5,5,4,15,15,
42,1,15,5,10,4,15,9,
43,1,6,5,15,4,15,9,
44,1,12,5,15,4,12,9,
45,1,15,5,13,4,15,9,
46,1,15,5,15,4,15,9,
47,1,10,5,15,4,15,11,
48,1,15,5,14,4,15,11,
49,1,15,5,15,4,15,8,
50,1,15,4,15,4,15,8,
