Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,1,20,20,true,3,12,5,2,14,5,11,11,8,10,5,7,5,8,11,14,3,13,1,9,4,3,9,10,8,11,2,15,8,15,2,2,3,13,3,8,2,6,4,10,15,8,8,15,10,9,8,10,3,3,12,13,5,12,12,13,14,8,7,13,2,4,9,14,15,6,15,7,9,2,12,13,13,7,10,14,9,7,13,8,1,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,
0,20,12,12,
1,20,2,6,13,12,
2,19,2,7,13,13,
3,18,2,8,13,14,
4,18,2,9,14,14,
5,17,2,10,14,15,
6,17,3,10,15,15,
7,17,4,10,15,11,
8,16,4,11,15,10,
9,16,5,11,15,9,
10,15,5,12,14,9,
11,15,6,12,14,5,
12,14,6,13,13,5,
13,14,7,13,15,5,
14,14,8,13,15,5,
15,14,8,14,15,3,
16,14,8,15,15,3,
17,14,9,15,15,7,
18,14,9,15,15,7,
19,14,9,15,13,7,
20,14,10,15,9,7,
21,13,10,15,8,7,
22,12,10,15,8,8,
23,11,10,15,9,8,
24,11,10,15,7,8,
25,10,10,15,7,9,
26,9,10,15,7,10,
27,9,11,15,4,10,
28,7,11,15,4,9,6,15,
29,7,11,15,4,12,12,15,
30,6,12,15,3,12,15,15,
31,5,12,15,2,12,
32,5,13,15,4,12,
33,5,13,15,8,12,
34,5,14,15,15,12,
35,5,14,15,15,12,
36,5,15,15,7,12,
37,5,15,15,14,12,
38,5,15,15,15,12,
39,5,15,12,15,12,
40,5,15,13,
41,5,15,14,
42,5,15,15,
43,5,15,15,
44,5,15,15,
45,5,15,15,
46,5,15,15,
47,5,15,15,
48,5,15,15,
49,5,15,15,
50,5,15,15,
