Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,1,20,20,true,3,4,2,3,15,13,2,8,5,11,2,3,1,5,1,3,3,6,12,3,6,12,5,7,3,8,6,1,12,9,6,6,4,8,15,10,5,8,9,9,3,10,3,7,11,9,1,12,6,1,5,15,2,3,10,9,5,15,14,8,8,10,9,13,15,10,1,10,4,13,11,11,13,14,13,3,13,9,12,11,11,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,
0,20,11,7,
1,19,15,6,11,11,
2,18,15,6,13,11,
3,17,15,7,13,15,
4,17,15,8,13,13,
5,16,15,8,14,13,
6,15,15,9,11,13,
7,14,15,10,3,13,
8,13,15,11,3,10,
9,13,15,12,7,10,
10,12,15,12,7,11,
11,12,15,13,9,11,
12,11,15,13,9,12,
13,11,15,14,9,9,
14,10,15,14,10,9,
15,10,15,15,15,9,
16,9,15,15,15,2,
17,9,15,15,15,2,
18,9,15,15,15,1,
19,8,15,15,10,1,
20,7,15,15,9,1,
21,7,15,15,15,1,
22,7,15,15,15,1,15,11,
23,7,15,15,9,1,15,11,
24,7,15,15,15,1,4,11,
25,7,15,15,15,1,8,11,
26,7,15,15,15,4,15,11,
27,6,15,15,10,4,15,11,
28,5,15,15,10,3,15,15,
29,5,15,15,15,3,15,15,
30,5,15,15,15,3,
31,5,15,15,10,3,
32,5,15,15,15,3,
33,5,15,15,15,3,
34,5,15,15,10,3,
35,5,15,15,15,3,
36,5,15,15,15,3,
37,5,15,15,10,3,
38,5,15,15,15,3,
39,5,15,15,15,3,
40,5,15,15,12,3,
41,5,15,15,12,2,
42,5,15,15,12,2,
43,5,15,15,12,4,
44,5,15,15,12,3,
45,5,15,15,12,2,
46,5,15,15,12,2,
47,5,15,15,12,1,
48,5,15,15,15,1,
49,5,15,15,15,1,
50,5,15,15,15,13,
