Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,1,20,20,true,3,3,6,6,2,15,13,5,6,14,13,7,1,7,14,1,15,15,5,6,9,6,10,10,8,9,12,14,3,14,5,4,8,3,9,1,2,13,5,2,13,10,14,12,14,11,14,10,1,6,11,8,4,9,8,15,2,12,12,14,6,15,12,12,4,12,5,1,10,13,3,9,3,2,2,11,5,4,3,11,2,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,
0,20,14,7,
1,19,7,10,14,6,
2,19,7,11,12,6,
3,18,8,11,12,5,
4,17,8,12,12,4,
5,16,8,13,8,4,
6,16,8,14,8,3,
7,15,9,14,9,3,
8,14,9,15,13,3,
9,13,9,15,4,3,
10,13,10,15,2,3,
11,12,10,15,2,2,
12,12,11,15,2,1,
13,11,12,15,1,1,11,14,
14,10,13,15,2,1,10,14,
15,9,14,15,1,1,12,14,
16,8,15,15,2,1,12,12,
17,7,15,15,1,1,15,12,
18,7,15,12,2,1,15,12,
19,7,15,12,1,1,
20,7,15,12,2,1,
21,7,15,12,1,1,
22,7,15,12,2,1,
23,7,15,13,1,1,
24,7,15,14,2,1,
25,7,15,14,1,1,
26,7,15,14,2,1,
27,7,15,14,1,1,
28,7,15,15,2,1,
29,7,15,15,1,1,
30,7,15,15,2,1,
31,7,15,15,1,1,
32,7,15,15,2,1,
33,7,15,15,1,1,
34,7,15,15,2,1,
35,7,15,15,1,1,
36,7,15,15,2,1,
37,7,15,15,1,1,
38,7,15,15,2,1,
39,7,15,15,1,1,
40,7,15,15,2,1,
41,7,15,15,1,1,
42,7,15,15,2,1,
43,7,15,15,1,1,
44,7,15,15,2,1,
45,7,15,15,1,1,
46,7,15,15,2,1,
47,7,15,15,1,1,
48,7,15,15,2,1,
49,7,15,15,1,1,
50,7,15,15,2,1,
