Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,1,20,20,true,3,2,13,4,10,11,5,2,12,3,15,2,9,2,15,9,13,12,4,14,7,7,4,7,6,6,5,11,9,1,12,7,11,6,9,15,14,12,1,3,6,15,4,9,11,6,7,5,5,6,8,4,3,12,9,15,10,5,1,10,9,8,7,10,3,3,2,8,5,11,8,5,11,2,10,14,12,3,11,6,11,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,
0,20,6,12,
1,19,13,15,6,11,
2,18,14,15,5,11,
3,17,15,15,3,11,
4,17,15,15,3,10,
5,16,15,15,2,10,
6,16,15,15,3,10,
7,16,15,15,3,10,
8,16,15,15,1,10,
9,16,15,15,2,10,
10,16,15,15,3,10,
11,16,15,15,3,10,
12,16,15,15,1,10,
13,16,15,15,2,10,
14,16,15,15,3,10,
15,16,15,15,3,10,
16,16,15,15,3,7,
17,15,15,15,6,7,
18,14,15,15,6,8,
19,13,15,15,11,8,
20,13,15,15,10,8,
21,12,15,15,10,9,
22,12,15,15,10,11,
23,11,15,15,9,11,
24,11,15,15,9,7,
25,10,15,15,8,7,
26,9,15,15,8,5,
27,9,15,15,10,5,
28,8,15,15,10,3,
29,8,15,15,5,3,
30,7,15,15,4,3,4,4,
31,7,15,15,4,2,5,4,
32,5,15,15,3,2,5,5,
33,4,15,15,5,2,5,1,
34,4,15,15,10,2,10,1,
35,4,15,15,15,2,11,1,
36,4,15,2,15,4,11,1,
37,4,15,3,11,4,
38,4,15,3,11,4,
39,4,15,3,8,4,
40,4,15,4,11,4,
41,4,11,4,11,4,
42,4,11,5,
43,4,11,6,
44,4,12,6,
45,4,12,7,
46,4,12,8,
47,4,12,9,
48,4,12,10,
49,4,13,10,
50,4,14,10,
