Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,0,0,20,true,3,9,1,4,11,9,9,7,12,15,8,4,14,2,4,9,14,1,7,14,12,12,12,8,15,4,8,14,6,1,5,1,15,15,9,15,2,2,10,5,8,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,20,8,11,
1,20,7,11,
2,19,7,12,
3,17,14,12,
4,17,15,12,
5,17,15,10,
6,16,15,9,
7,15,15,8,
8,15,15,6,
9,14,14,6,
10,14,15,6,
11,14,15,6,
12,14,15,15,
13,14,15,15,
14,14,15,11,
15,14,15,11,
16,14,15,9,
17,14,15,9,
18,13,9,9,
19,13,15,9,
20,13,15,9,
21,13,14,9,
22,13,15,9,
23,13,15,9,
24,13,15,15,
25,13,15,15,
26,12,7,15,
27,12,9,15,
28,11,9,14,
29,11,15,14,
30,11,15,14,
31,11,15,10,
32,11,15,10,
33,11,15,4,
34,10,15,2,
35,10,15,2,
36,10,4,2,15,1,
37,10,8,2,15,1,
38,10,8,1,11,1,
39,9,9,1,9,1,
40,9,15,1,15,1,
41,9,15,1,15,1,
42,9,15,9,15,2,
43,9,15,9,15,2,
44,9,15,8,15,1,
45,9,15,8,15,1,
46,9,11,8,3,1,
47,9,15,8,6,1,
48,9,15,8,12,1,
49,9,15,1,15,1,
50,9,15,1,15,1,
