Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,4,0,20,20,true,3,2,8,1,11,4,5,11,15,2,11,13,11,8,1,2,15,13,5,13,12,3,7,3,15,5,13,2,13,15,8,5,2,8,12,12,11,1,7,10,10,9,7,9,14,8,4,13,15,4,9,15,6,13,13,6,10,13,8,7,9,11,2,1,1,5,8,6,8,1,12,7,6,11,9,6,9,3,2,4,4,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,Agent 4 X-Pos,Agent 4 Y-Pos,
0,20,13,4,12,1,12,12,3,13,
1,19,8,4,11,1,12,13,4,13,
2,16,4,4,11,2,13,13,4,10,
3,13,4,3,11,9,13,15,4,9,
4,11,4,2,7,9,15,15,6,9,
5,8,3,2,7,6,15,15,6,8,
6,6,1,2,15,6,12,15,5,8,
7,5,1,1,9,6,15,15,5,10,
8,3,2,1,9,7,15,15,6,10,
9,2,4,1,9,14,12,15,9,10,
10,2,7,1,15,14,15,15,9,10,
11,2,7,1,15,14,15,15,9,1,
12,2,7,5,15,15,15,13,15,1,
13,2,12,5,15,15,15,13,15,1,
14,2,12,8,12,15,12,13,9,1,
15,1,13,8,15,15,15,13,15,1,
16,1,14,8,15,15,15,13,15,1,
17,1,14,8,12,15,15,15,15,5,
18,1,14,11,15,15,15,15,15,5,
19,1,15,11,15,15,15,9,15,7,
20,1,15,11,15,13,15,9,15,7,
21,1,15,9,15,13,8,9,4,7,
22,1,15,9,6,13,15,9,8,7,
23,1,15,12,12,13,15,9,15,7,
24,1,15,12,15,13,15,15,15,7,
25,1,15,15,15,13,15,15,15,1,
26,1,15,15,15,15,15,11,15,1,
27,1,12,15,15,15,15,11,15,7,
28,1,15,15,12,15,14,11,15,7,
29,1,15,15,15,15,15,11,15,1,
30,1,15,10,15,15,15,11,15,1,
31,1,15,10,12,15,14,11,15,7,
32,1,15,15,15,15,15,11,15,7,
33,1,15,15,15,15,15,11,15,5,
34,1,15,9,12,15,15,9,15,5,
35,1,15,9,15,15,15,9,15,7,
36,1,1,9,15,15,7,9,15,7,
37,1,1,8,15,9,14,9,15,2,
38,1,1,9,15,9,15,9,15,2,
39,1,1,8,15,15,15,9,15,7,
40,1,1,9,15,15,9,9,15,7,
41,1,1,8,12,15,15,9,4,7,
42,1,1,9,15,15,15,9,8,7,
43,1,1,8,15,15,15,15,15,7,
44,1,1,9,12,15,15,15,15,7,
45,1,1,8,15,15,13,15,15,1,
46,1,1,9,15,15,15,15,15,1,
47,1,1,8,15,10,15,15,9,1,
48,1,1,9,15,10,12,15,15,1,
49,1,1,8,15,9,15,15,15,1,
50,1,1,9,15,9,15,15,9,1,
