Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,4,0,20,20,true,3,7,6,12,4,10,5,15,5,7,1,15,2,11,13,8,7,12,11,13,9,13,13,3,2,15,9,1,7,9,5,15,7,2,4,10,3,15,10,8,6,2,7,10,7,14,7,3,9,9,2,15,15,3,10,2,11,15,4,12,9,12,7,10,10,1,12,7,12,9,11,4,6,1,14,6,5,8,10,6,6,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,Agent 4 X-Pos,Agent 4 Y-Pos,
0,20,11,3,4,10,10,3,4,5,
1,18,9,3,3,10,10,2,4,6,
2,15,9,2,3,9,9,2,6,6,
3,14,14,2,3,7,9,1,6,5,
4,13,14,4,2,7,15,1,6,12,
5,10,15,4,2,11,15,1,7,12,
6,9,15,4,1,11,8,1,1,12,
7,8,15,3,1,14,15,1,1,14,
8,8,15,3,2,14,15,1,2,14,
9,8,15,4,4,14,8,1,4,14,
10,8,15,4,8,14,15,1,8,14,
11,7,15,3,8,10,15,1,8,10,
12,6,15,3,10,10,13,1,10,10,
13,5,15,4,10,7,13,7,10,7,
14,4,15,4,12,7,12,7,12,7,
15,3,13,4,14,7,14,7,14,7,
16,3,15,4,14,7,14,15,14,15,
17,2,15,4,9,7,15,15,15,15,
18,1,15,3,9,11,15,15,15,15,
19,1,15,3,11,11,15,11,15,11,
20,1,7,3,11,9,15,11,15,11,
21,0,14,3,12,9,13,11,13,11,
22,0,15,3,12,9,15,11,15,11,
23,0,15,3,12,10,15,11,15,11,
24,0,15,4,14,10,15,15,13,11,
25,0,15,4,14,10,15,15,15,11,
26,0,13,4,7,10,2,15,15,11,
27,0,15,4,14,10,4,15,15,15,
28,0,15,4,14,10,8,15,15,15,
29,0,13,4,14,1,15,15,6,15,
30,0,15,4,15,1,15,15,12,15,
31,0,15,4,15,1,11,15,15,15,
32,0,13,4,8,1,15,15,15,15,
33,0,15,4,15,1,15,15,15,14,
34,0,15,4,15,1,15,11,15,14,
35,0,13,4,8,1,15,11,15,11,
36,0,15,4,15,1,13,11,15,11,
37,0,15,4,15,1,15,11,13,11,
38,0,15,3,8,1,15,11,15,11,
39,0,15,3,15,1,13,11,15,11,
40,0,15,4,15,1,15,11,13,11,
41,0,15,4,10,1,15,11,15,11,
42,0,15,3,15,1,13,11,15,11,
43,0,15,3,15,1,15,11,15,15,
44,0,15,4,13,1,15,11,15,15,
45,0,15,4,15,1,15,14,15,11,
46,0,15,3,15,1,15,14,15,11,
47,0,15,3,8,1,4,14,13,11,
48,0,3,3,15,1,8,14,15,11,
49,0,6,3,15,1,15,14,15,11,
50,0,12,3,8,1,15,14,15,14,
