Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,4,0,20,20,true,3,10,2,14,12,4,10,3,5,4,13,13,9,15,12,6,13,6,10,2,2,9,15,14,7,8,3,6,7,15,7,12,10,2,6,15,5,4,12,5,10,4,7,13,8,14,8,12,7,2,5,2,4,5,5,9,14,9,8,14,2,13,10,3,6,1,7,10,4,8,1,1,12,6,12,12,2,9,11,4,1,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,Agent 4 X-Pos,Agent 4 Y-Pos,
0,20,3,5,10,4,8,11,13,15,
1,16,2,5,2,4,9,11,13,10,
2,14,5,5,5,4,9,8,15,10,
3,13,3,5,5,1,13,8,15,8,
4,10,3,6,4,1,14,8,14,8,
5,9,4,6,8,1,12,8,12,8,
6,7,4,7,12,1,12,7,12,7,
7,5,1,7,12,2,12,2,12,2,
8,3,1,12,14,2,14,2,14,2,
9,3,2,12,15,2,15,2,15,2,
10,3,3,12,15,2,15,2,15,2,
11,3,3,12,11,2,15,1,15,1,
12,3,3,9,15,2,15,1,15,1,
13,3,6,9,15,2,11,1,15,4,
14,3,12,9,15,1,15,1,15,4,
15,3,12,9,15,1,15,1,1,4,
16,3,12,1,9,1,8,1,2,4,
17,2,15,1,9,14,15,1,4,4,
18,2,15,1,15,14,15,1,8,4,
19,2,1,1,15,14,8,1,15,4,
20,2,2,1,15,15,15,1,15,4,
21,2,4,1,15,15,15,1,1,4,
22,2,8,1,10,15,14,1,2,4,
23,2,15,1,15,15,15,1,4,4,
24,2,15,1,15,15,15,1,8,4,
25,2,12,1,15,13,15,4,15,4,
26,2,15,1,15,13,15,4,15,4,
27,2,15,1,10,13,12,4,15,1,
28,2,15,4,15,13,15,4,15,1,
29,2,15,4,15,13,15,4,15,4,
30,2,15,1,15,15,15,1,15,4,
31,2,15,1,15,15,15,1,15,1,
32,2,3,1,15,13,1,1,15,1,
33,2,6,1,15,13,2,1,15,4,
34,2,12,1,7,13,4,1,15,4,
35,2,15,1,7,12,8,1,5,4,
36,1,15,1,6,12,15,1,10,4,
37,1,14,1,12,12,15,1,15,4,
38,1,15,1,13,12,3,1,15,4,
39,1,15,1,13,12,6,1,5,4,
40,1,14,1,13,15,12,1,10,4,
41,1,15,1,15,15,15,1,15,4,
42,1,15,1,15,15,15,1,15,4,
43,1,15,4,11,15,11,1,5,4,
44,1,15,4,15,15,15,1,10,4,
45,1,13,4,15,15,15,1,15,4,
46,1,15,4,10,15,15,4,15,4,
47,1,15,4,15,15,15,4,15,1,
48,1,14,4,15,15,10,4,15,1,
49,1,15,4,15,13,15,4,15,4,
50,1,15,4,15,13,15,4,15,4,
