Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,4,0,20,20,true,3,4,5,15,2,15,3,10,15,8,7,10,6,13,5,2,9,1,11,8,14,2,12,6,15,3,14,12,1,10,8,9,12,3,4,11,3,2,5,15,14,1,1,9,3,7,12,5,3,10,14,13,6,6,6,1,8,2,4,15,5,14,5,12,3,14,7,10,1,6,14,4,10,1,15,8,15,2,8,2,15,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,Agent 4 X-Pos,Agent 4 Y-Pos,
0,20,2,13,10,3,1,1,15,1,
1,18,2,15,9,3,1,4,14,1,
2,14,1,15,5,3,2,4,14,5,
3,13,2,15,5,6,2,4,15,5,
4,12,4,15,6,6,1,4,15,7,
5,10,4,10,6,12,1,7,14,7,
6,8,8,10,7,12,1,8,14,6,
7,6,8,9,7,14,2,8,13,6,
8,5,8,8,6,14,4,8,15,6,
9,5,9,8,7,14,8,8,15,6,
10,5,9,1,7,15,9,8,15,4,
11,3,10,1,8,15,9,8,12,4,
12,2,11,1,9,15,1,8,12,3,
13,2,11,1,9,14,2,8,14,3,
14,1,11,2,10,14,4,8,14,3,
15,1,14,2,14,14,8,8,12,3,
16,1,14,2,14,14,9,8,14,3,
17,1,14,4,14,11,9,8,14,3,
18,1,15,4,15,11,9,6,14,1,
19,1,15,4,15,11,9,6,15,1,
20,1,15,7,15,13,9,11,15,1,
21,1,15,7,15,13,15,11,13,1,
22,1,15,4,15,4,15,11,15,1,
23,1,15,4,15,4,4,11,15,1,
24,1,15,13,7,4,8,11,13,1,
25,1,15,13,14,4,15,11,15,1,
26,1,6,13,15,4,15,11,15,1,
27,1,12,13,15,4,5,11,13,1,
28,1,15,13,15,7,10,11,15,1,
29,1,15,13,15,7,15,11,15,1,
30,1,15,4,15,4,15,11,13,1,
31,1,15,4,15,4,15,6,15,1,
32,1,15,13,4,4,15,6,15,1,
33,1,15,13,8,4,12,6,13,1,
34,1,4,13,15,4,15,6,15,1,
35,1,8,13,15,4,15,6,15,1,
36,1,15,13,4,4,12,6,13,1,
37,1,15,13,8,4,15,6,15,1,
38,1,14,13,15,4,15,6,15,1,
39,1,15,13,15,4,11,6,13,1,
40,1,15,13,8,4,15,6,15,1,
41,1,5,13,15,4,15,6,15,1,
42,1,10,13,15,4,11,6,13,1,
43,1,15,13,8,4,15,6,15,1,
44,1,15,13,15,4,15,6,15,1,
45,1,11,13,15,4,15,13,13,1,
46,1,15,13,12,4,15,13,15,1,
47,1,15,13,15,4,15,4,15,1,
48,1,15,10,15,4,15,4,13,1,
49,1,15,10,4,4,8,4,15,1,
50,1,15,4,8,4,15,4,15,1,
