Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,Energy 21 X-Pos,Energy 21 Y-Pos,Energy 22 X-Pos,Energy 22 Y-Pos,Energy 23 X-Pos,Energy 23 Y-Pos,Energy 24 X-Pos,Energy 24 Y-Pos,Energy 25 X-Pos,Energy 25 Y-Pos,Energy 26 X-Pos,Energy 26 Y-Pos,Energy 27 X-Pos,Energy 27 Y-Pos,Energy 28 X-Pos,Energy 28 Y-Pos,Energy 29 X-Pos,Energy 29 Y-Pos,Energy 30 X-Pos,Energy 30 Y-Pos,Energy 31 X-Pos,Energy 31 Y-Pos,Energy 32 X-Pos,Energy 32 Y-Pos,Energy 33 X-Pos,Energy 33 Y-Pos,Energy 34 X-Pos,Energy 34 Y-Pos,Energy 35 X-Pos,Energy 35 Y-Pos,Energy 36 X-Pos,Energy 36 Y-Pos,Energy 37 X-Pos,Energy 37 Y-Pos,Energy 38 X-Pos,Energy 38 Y-Pos,Energy 39 X-Pos,Energy 39 Y-Pos,Energy 40 X-Pos,Energy 40 Y-Pos,
50,15,15,1,0,20,40,true,3,6,15,2,4,4,4,13,5,9,9,4,5,9,6,3,1,7,3,10,11,6,8,12,5,15,5,11,7,7,8,10,5,14,4,8,9,7,13,13,15,13,8,6,6,13,12,15,14,14,11,13,7,5,6,6,2,1,1,13,2,5,4,11,3,15,8,8,6,3,2,6,14,14,15,15,13,14,3,8,13,5,2,1,14,13,4,3,4,5,9,10,3,3,5,14,13,8,2,8,4,5,15,12,7,5,14,1,5,6,12,10,15,7,5,3,12,11,15,6,11,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,40,14,7,
1,39,13,7,
2,38,12,7,
3,38,13,7,
4,37,13,8,
5,36,15,8,
6,35,15,13,
7,34,14,13,
8,33,14,11,
9,32,14,15,
10,32,14,14,
11,30,15,14,3,12,
12,28,6,14,6,12,
13,26,5,14,6,11,
14,25,5,15,6,9,
15,24,5,9,5,9,
16,23,5,6,5,6,
17,22,6,6,6,6,
18,21,8,6,8,6,
19,20,8,4,8,4,
20,19,8,2,8,2,
21,18,6,2,6,2,14,12,
22,16,5,2,5,2,13,12,
23,15,3,2,3,2,8,12,
24,13,3,4,3,4,8,13,
25,12,3,5,3,5,15,13,
26,11,1,5,1,5,15,13,
27,10,1,1,1,1,8,13,
28,9,1,14,1,14,15,13,
29,9,10,14,10,14,15,13,
30,8,10,15,10,15,8,13,13,1,
31,6,11,15,11,15,15,13,13,2,
32,5,12,15,12,15,15,13,13,4,
33,4,12,15,12,15,15,15,5,4,
34,4,7,15,12,14,15,15,7,4,
35,3,12,15,15,14,15,8,7,5,
36,3,12,15,15,14,15,8,9,5,
37,3,10,15,13,14,15,6,9,3,
38,2,12,15,15,14,15,6,10,3,
39,1,12,15,15,14,15,15,11,3,
40,0,9,15,15,6,15,15,14,3,
41,0,12,15,15,6,14,15,15,3,6,3,
42,0,12,15,15,12,15,15,15,3,6,7,
43,0,10,15,15,12,15,15,11,3,10,7,
44,0,12,15,15,14,15,6,15,3,10,7,
45,0,12,15,15,14,15,6,15,3,10,6,
46,0,12,6,15,15,15,8,15,1,15,6,
47,0,15,6,15,15,15,8,15,1,15,6,
48,0,15,6,14,15,15,15,15,4,15,15,
49,0,11,6,15,15,15,15,15,4,15,15,
50,0,15,6,15,15,14,15,15,1,14,15,
